abstract,extractive,text
The project manager goes through the minutes of the last meeting.,"Uh uh just going to go quickly through the minutes of the last last uh meeting
then we have a p presentation of prototype of you two ,
No L C D , no speech recognition technology , okay ,
we went through a b to a banana look and feel for the remote control .
And also the use of a basis station for battery ch charging and uh also to um call the to call the mot mote remote control when it is lost .","PM: 
ME: 
PM: Okay .
PM: Good afternoon again .
UI: 
PM: So we should have our final meeting about the detail designed of detail design of the product of the remote control .
PM: Um So here is the agenda for today .
PM: Uh uh just going to go quickly through the minutes of the last last uh meeting
PM: then we have a p presentation of prototype of you two ,
PM: sounds interesting .
PM: And we'll have um presentation of evaluation crit criteria by ou our Marketing Experts .
PM: Then we'll have to go through finance evaluation of the of the cost of the thing
PM: and um hopefully uh we should fit the target o tw of twelve point five uh uh Euro .
PM: Okay .
PM: So let's go .
PM: Uh if I go quickly through the minutes of the last meeting .
PM: So we went through th uh
PM: w we took this following decisions .
PM: No L C D , no speech recognition technology , okay ,
PM: we went through a b to a banana look and feel for the remote control .
PM: We went through the use of wheels and but buttons .
PM: And also the use of a basis station for battery ch charging and uh also to um call the to call the mot mote remote control when it is lost ."
"The industrial designer reported on working design, explaining how a remote control works and describing its main components.","It's an electrical circuit which compose uh messages in the form of uh uh infrared signals to control the television .
Uh , diodes , uh bat batteries and uh uh LED lights , they're needed and they're uh everywhere available .
Uh , the circuit board , it's the most um important uh um part of the remote control .","ID: Okay ,
ID: how can I get this on the whiteboard ?
PM: Yeah ?
PM: Well it's you dumped the file in the uh in the sh in the project document folder .
PM: You've already done that ?
UI: In project .
ID: Okay ,
ID: I've done that .
UI: No can that open .
ID: Yes .
PM: Well let's close this one .
PM: We'll just uh open a new one .
UI: Open it there .
PM: Uh , well .
PM: Yes .
PM: Uh-oh . New thing .
PM: Oh yeah , uh I have to say something .
PM: Uh , due to some uh technical problems I haven't uh digitized the last uh the meeting minutes .
PM: But I'll uh make sure that uh happens next time .
ME: Mm-hmm .
UI: Okay .
UI: About the get
PM: And I'll get this one uh in digital uh form too .
ID: Um , the method of the remote control is uh electrical energy ,
ID: it activates a chip uh in the remote .
ID: It's an electrical circuit which compose uh messages in the form of uh uh infrared signals to control the television .
ID: Mm , it's a nowadays very uh known , a known uh uh technology .
ID: Um , the known technology can make a cost very low .
ID: Uh , it's a wild uh
ID: a wide sale uh of uh remote controls in the world .
ID: And and the components are very uh very cheap .
ID: Um ,
ID: Uh , diodes , uh bat batteries and uh uh LED lights , they're needed and they're uh everywhere available .
ID: Uh , again , it's a fair price .
ID: It's a common uh technology uh , like I told um
ID: Uh , the circuit board , it's the most um important uh um part of the remote control .
ID: Uh , we can use for that uh fibreglass with copper wires ,
ID: it's it is uh
ID: can be made as fast as printing paper .
ID: It's uh it's all very uh
PM: Okay .
ID: Yeah , they're making it uh all the time . Uh ,
PM: Okay .
ID: and it's not uh very specialised uh technology ."
The project manager gave the group instructions about what to do before the next meeting.,"the the industrial uh development uh centre and uh user interface uh will work together on a prototype .
And uh will drawing it on the SMARTboard .
And um , the marketing expert will uh will uh ke he will be keeping busy with the product uh evaluation .
But the most uh specific instructions will be sent to you by email .
But I think it was a very uh very good uh session , uh gentlemen .
But keep an eye on your uh laptops for a real uh","PM: Uh , very special , uh next uh session .
PM: Uh idea that you uh
PM: the the industrial uh development uh centre and uh user interface uh will work together on a prototype .
PM: And uh will drawing it on the SMARTboard .
PM: So that's a kinda new uh thing .
PM: And um , the marketing expert will uh will uh ke he will be keeping busy with the product uh evaluation .
PM: But the most uh specific instructions will be sent to you by email .
ME: 
UI: 
ME: Ah .
UI: Um
ID: So we're going to work together right now ?
UI: Stay here and
PM: Yeah , the well , uh dids this what I uh what I heard .
PM: I
ME: In the master class .
PM: Not in the master class .
UI: 
ID: 
ME: Yeah .
PM: So you uh just wait for the specific instructions and uh
PM: But I think it was a very uh very good uh session , uh gentlemen .
UI: P .
UI: Ah , no new email .
ID: Definitely .
ME: Me too .
PM: I will thank you all .
UI: Okay .
ID: Well thank you too .
UI: Thank you . Thank you very much .
PM: And uh
ME: Thank you too , lord .
PM: Give me a good evaluation .
ID: 
UI: Yeah .
ME: 'Kay guys , lot of success .
UI: Uh-huh .
UI: See you .
ID: You wish .
ID: M Aye ? Cheers .
PM: 
PM: Cheers .
PM: See you in a half hour .
ID: Hey .
PM: But keep an eye on your uh laptops for a real uh
ID: Yeah , uh I'm not sure if we uh we
ID: Because I saw something about individual actions .
PM: Yeah , but th there's there's still the my uh instructions that you will work together .
UI: Yeah .
UI: Here ? Or uh
PM: That's not my problem .
PM: Bye-bye .
UI: Yeah . If you got a
UI: No . So
UI: Stupid manager .
ID: Well , yeah .
ID: Right . Uh
PM: The project manager always works alone .
ID: 
ID: Do you have new email ?
UI: No .
UI: Don't get what's
ID: Hmm ."
"When the meeting begins the project manager lists the agenda and then describes the project, which is to develop a new remote control that is original, trendy, and user-friendly.","let's get started .
Uh opening acquaintance , tool training , uh how to use the things here . Uh project plan discussion , and yeah then the rest of the meeting .
Um we're supposed to develop a new remote control ,
that's both original , trendy and user-friendly .
Um we're work we're working uh from top to bottom . Uh functional design ,
then we do some in individual work ,
then we have a meeting to discuss the results , etcetera etcetera .
And at the end of the day we should have a prototype drawn up .","UI: 
ME: 
UI: Mm uh .
ME: We're the first .
UI: Mm . We're the first ones .
ME: Marketing Expert , yes .
PM: Mm .
ME: 
PM: So you found your spots .
ME: Yes .
UI: Move to the meeting room .
UI: Okay .
ME: Bling bling .
ME: Yeah .
ME: Right .
PM: Okay .
ME: Uh where has my screen gone ?
ID: Hi .
UI: Hello , good day .
UI: Yep .
ME: 
ID: Oh yeah ,
ID: we have to talk in English ,
ID: huh .
ME: Hmm .
ME: Yeah .
ME: My screen is gone .
ME: Oh .
PM: It's called black .
UI: Kick-off meeting , wow .
ID: I'm afraid I'm a bit slow for this stuff uh .
UI: It's uh looks uh nice .
PM: 
ME: 
UI: Hmm ?
PM: Okay .
ID: I'm afraid I'm a bit too slow .
ID: I don't know how much preparation you guys did ,
ID: but not a lot .
UI: Yeah .
ME: Yeah .
UI: No , it's it was uh not enough .
PM: You see this beautiful presentation .
PM: Okay
PM: let's get started .
ME: Yeah . Very nice .
ME: Yeah .
UI: 
PM: Uh I sort of prepared this .
PM: Uh opening acquaintance , tool training , uh how to use the things here . Uh project plan discussion , and yeah then the rest of the meeting .
PM: Um we're supposed to develop a new remote control ,
PM: that's both original , trendy and user-friendly .
ME: Mm .
ID: Mm-hmm .
PM: So ,
PM: hope you have good ideas .
PM: I don't .
PM: Um we're work we're working uh from top to bottom . Uh functional design ,
PM: then we do some in individual work ,
PM: then we have a meeting to discuss the results , etcetera etcetera .
ME: 
UI: I did my best .
ID: Not yet .
PM: And at the end of the day we should have a prototype drawn up .
PM: Uh we have available the smart board and the whiteboard . Um
ME: Yeah .
PM: uh we should take some practice .
PM: I have some instructions now to do that .
PM: Uh well
PM: you know how to the documents work ."
"The marketing expert presents, talking about user preferences for a small, simple, eye-catching, cute, appealing, and functional remote.","Um alright , my method is uh I'm interested in what the competition is doing , and wanna see how we can make ourselves different from the competition ,
Um and my findings from this is that , you know , small is beautiful .
Simple is beautiful .
And eye-catching is important .","PM: We don't have a lot of time left
PM: and we will still have to make a decision ,
PM: and the marketing expert has to present her her thing .
ME: 
ME: Okay .
ME: Go right to my first my next slide .
PM: Uh okay .
ME: Um alright , my method is uh I'm interested in what the competition is doing , and wanna see how we can make ourselves different from the competition ,
ME: so I've really been looking at the press and the ads that are out there for other remote controllers .
ME: I s I spend a lot of time on the internet um surfing around doing the same thing .
ME: And then when I'm out um in people's houses or at meetings or anything like that , I try to notice what kind of remote controls people have ,
ME: and if it's convenient in the conversation I ask about it .
ME: And I would encourage you all to do the same .
ME: Um and my findings from this is that , you know , small is beautiful .
ME: Um people like something that really fits in their hand .
ME: Simple is beautiful .
ME: They don't want to have to squint at small print um ,
ME: they want buttons whose functions are obvious , and they want um as few buttons as possible ,
ME: and they don't care for the mode thing .
ME: They want each button to do something .
ME: And eye-catching is important .
ME: It's gotta look cute , it's gotta look appealing .
ME: Go ahead ,
ME: I'm trying to finish fast for you .
ME: Um and our preference is , as far as I'm concerned , are we got to get to the market before the competition .
ME: Ours has to be look really great and it has to come out before the others ,
ME: so that we have a leg up on time to sell it and push it before other people get out their Christmas item .
ME: And we should develop one or two features we can really dwell on in our ad campaign .
ME: If we try to tell people it has too many great features , um the consumer just gets confused and we don't get anywhere .
ME: So we've gotta narrow our selection down to li two things , I think , that we gonna say are really great about our our our new product .
ME: And I've been looking around um at what designs every year different things are popular .
ME: And in my research this year I found out that fruit and vegetable shapes are really popular .
ME: And people are tired of hard plastic and hard metal .
ME: They are more back into soft feel , spongy feeling things , things with maybe a little cloth on them .
ME: So those are things maybe we wanna look at as far as saleability of the item .
UI: 'Kay .
UI: Mm-hmm .
ME: "
The marketing expert discussed his findings from trend watching reports.,"so f from our market research basically we've come to the conclusion that a fancy look and feel , um as opposed to a functional look and feel , is our number one priority .
Um and third thirdly the easiness of use is is the um is is important as well ,
Secondly um that our remote control needs to be techn technologically innovative .
From our f fashion people in Paris and Milan , um we've discovered that this year um fruit the fruit and vegetable motif will be the most important thing in in clothes , shoes and furniture .
And also um the feel of material this year um is expected to be spongy .","ME: Can you open my presentation ,
ME: please .
PM: 
PM: Uh .
ME: I'm number four .
ME: Trend .
ME: Yep .
PM: This one ?
PM: Turn .
ME: Can you pass the mouse ,
ME: please .
ME: Oh okay , that's fine .
ME: the fashion trends we got from talking to our our contacts in the fashion industry based in Paris and Milan .
ME: Um
ME: so f from our market research basically we've come to the conclusion that a fancy look and feel , um as opposed to a functional look and feel , is our number one priority .
ME: Um fancy is is is is the , you know , highest priority .
ME: Secondly um that our remote control needs to be techn technologically innovative .
ME: Um so this is t number two priority but it's two times less important as the fancy criteria .
ME: Um and third thirdly the easiness of use is is the um is is important as well ,
ME: but again two times less important as the technologically innovativeness of the remote control .
PM: Hmm .
ID: Hmm .
ME: From our f fashion people in Paris and Milan , um we've discovered that this year um fruit the fruit and vegetable motif will be the most important thing in in clothes , shoes and furniture .
ME: So , I'm pretty confident that our remote control fits into the furniture category .
ME: And also um the feel of material this year um is expected to be spongy .
PM: Okay .
ME: Um so hopefully our remote control reflects that s in some way .
ME: Um so in conclusion , we need a our remote control needs to be something that's really fancy , um has lots of technolog tech technology in it .
ME: Um somehow would be good to have it related to fruit and vegetables with a spongy feel .
ME: And that it's easy to use
ME: and from our last meeting our you know Fabian told us that w you know one of the requirements is that we have to reflect the look and feel of our of th the Real Reaction company . Um .
PM: So , Hamed , can you .
UI: Yeah . The second one .
UI: Could you please show the presentation number three .
PM: Mm-hmm ."
He showed that the size of the chip they will use is dependent on how many complicated functions are included.,"So depending on what we want our functionality to be , um the chip could be expensive or it could be cheap .
Um depending on the n amount of memory we need in there and stuff like that and h and h you know how much power .","UI: And we've some basic components that um our remote is gonna need ,
UI: just basically every remote'll need 'em .
UI: We need some kinda of power d power source .
UI: Um we have to decide on our our user interface , which is his department ,
UI: but the in user interface is also a major component .
UI: Um we need a programmable digital signal processor to um to take the input from the user and translate that into uh into electronic signal , which we pass to the infra-red L E D , which you aim at the television uh which and it receives that signal .
ID: 
UI: Um we need a programmable digital signal processor to um to take the input from the user and translate that into uh into electronic signal , which we pass to the infra-red L E D , which you aim at the television uh which and it receives that signal .
UI: You need a on-off switch
UI: um I don't know how that got in there .
UI: And uh we also need to um have the if we want a universal remote we need to have encryption codes for the different makes of T V s .
UI: So we need to know all the different you know all the different signals
UI: and so that'll require some memory as well .
UI: Um so here's just a basic layout of how how the remote would work .
UI: You ha the v the power source is in the upper right-hand corner there ,
UI: and you can see that uh we have the user interface here which is connected to the chip which does all our signal processing ,
UI: and then passes that signal on to the infra-red L E D
UI: and that signal is then emitted and received by the television at the photo-transistor .
UI: So those are the basic components that need to go into this
UI: and everything else is pretty much uh open to move around .
ME: Now is would this be considered just a standard uh um
UI: I think any des
ME: This is not this is not cutting edge technology we're talking here .
ME: We're talking about existing technology .
ME: Nothing is being modified or upgraded or new discoveries .
UI: No .
UI: Right
UI: I think
UI: Yeah
UI: this is just this is just a basic layout of ev of all the components that w w are gonna be absolutely necessary f to have a working remote .
UI: We can add things in like if we wanted some voice recognition ,
UI: I mean that I mean that you can kinda say would would fall under the user interface and the digital signal processing chip .
ME: Okay . Okay .
PM: Do we have an idea of costs of different components ?
UI: Um well the most the most costly components are gonna be the chip
UI: and the uh th it could als
UI: basically the user interface and the casing are gonna be expensive as well .
UI: Um the L E D and the the transistors and everything else are you know they're they're pretty cheap .
PM: 'Kay .
UI: So depending on what we want our functionality to be , um the chip could be expensive or it could be cheap .
UI: Um depending on the n amount of memory we need in there and stuff like that and h and h you know how much power .
PM: Mm 'kay .
PM: Do we have any ballpark figures for that yet ? No .
UI: Uh I don't have any figures right now .
UI: We uh we have to wait until we get to a more specific design phase for that .
UI: Um but and I think a significant part of the cost could be the actual the actual casing itself and and you know the the b the buttons and things like that , I think .
PM: 'Kay .
PM: Yeah .
ME: N okay .
ME: Mm .
ME: Mm the shell ?
UI: Yeah . Basically yeah .
ME: Okay .
PM: Okay ."
The Project Manager instructed the group to fill out a final evaluation questionnaire.,"Um and we've got the meeting survey and questionnaire .
There's a final questionnaire .
we've got about fifty minutes to catch up with everything that I fell behind with ,","PM: Um the project has been evaluated well and truly .
PM: Um and we've got the meeting survey and questionnaire .
PM: Oh , so
PM: we've got about fifty minutes to catch up with everything that I fell behind with ,
PM: so I'll be delegating in my um role as Project Supervisor ,
PM: so good luck .
ME: 
UI: Yeah .
ME: Mm-hmm .
UI: There's a final questionnaire .
ID: In your
ID: yeah .
UI: Celebration , you didn't talk about that .
PM: I think the celebration is the twenty five pounds .
UI: 
ID: 
PM: Either that or we'll be dancing on the desks .
ME: 
ID: 
PM: Oh .
ME: Questionnaire .
ID: Okay .
ID: Is that it then ?
PM: Um yeah , just the last , I think .
ID: Awesome .
PM: I think I've got minutes for two of the meeting and the last thingy .
ME: Questionnaire done .
ME: Oh ,
ME: I didn't have to rate you on how much you influenced the meeting this time .
ID: Was that not the questionnaire for the how you felt you'd done in your thing ?
ME: Oh ,
ME: right .
ME: But do we not sometimes evaluate in these meetings too ?
ME: Yeah .
ID: I don't think .
ID: Yeah ,
ID: the the s
ID: yeah .
ID: I think yeah , questionnaire seven was the one I did just before the meeting .
UI: Yeah .
ID: Mm .
PM: I just got con"
Then the project manager introduces the meeting by saying they have some technical tools with which to communicate so they will try to get acquainted with them first.,"w we will try to structure this uh meeting with an a with an agenda uh as presented here .
Um after the opening we will tr get acquainted to each other .
See what our roles are in this project .
We have been provided with uh some uh w technical tools to uh to communicate and to well , learn from each other's plans
w we will also try to uh to get acquainted to this tools
Um then we will come to the uh to the to the actual project plan .
You all know I hope how it's about uh the uh new r remote control we are going going to design .
Uh then we will uh discuss
and uh wh what uh what our new product should look lite like .","PM: So
PM: w we will try to structure this uh meeting with an a with an agenda uh as presented here .
PM: Um after the opening we will tr get acquainted to each other .
PM: See what our roles are in this project .
UI: 
PM: So , um
PM: We have been provided with uh some uh w technical tools to uh to communicate and to well , learn from each other's plans
PM: uh as I can say
PM: um so
PM: w we will also try to uh to get acquainted to this tools
PM: so
PM: they are also new to me
PM: I don't know whether you worked with them before .
PM: Um then we will come to the uh to the to the actual project plan .
PM: You all know I hope how it's about uh the uh new r remote control we are going going to design .
ME: Mm-hmm .
UI: Total .
PM: Uh then we will uh discuss
PM: uh , well , how it should be
PM: and uh wh what uh what our new product should look lite like .
PM: And uh well then uh after some twenty five minutes I hope uh we can end this meeting ."
"The Project Manager instructed the User Interface Designer and the Industrial Designer to build the prototype, with the User Interface Designer deciding which buttons will be included.","The I D is going to do the look and feel design ,
the U I D the user interface design .
Okay , and right now , the I D and U I D , you two are going to work together on a prototype using modelling clay .
I think you're going to get a lot of , I mean , the final say on what buttons get put","PM: 'Kay , well we're gonna wrap this up .
PM: Um next meeting is gonna start in thirty minutes ,
PM: and here's what we're each of us going to do .
PM: The I D is going to do the look and feel design ,
PM: the U I D the user interface design .
PM: I think you're going to get a lot of , I mean , the final say on what buttons get put
PM: We'll all talk about it ,
PM: but I think , that's pretty much what you're gonna do ,
PM: right ?
UI: Yeah .
PM: I guess .
PM: 'Kay . And you're gonna do some product evaluation .
PM: Okay , and right now , the I D and U I D , you two are going to work together on a prototype using modelling clay .
ID: Great . Play Doh .
PM: Yeah .
PM: Okay , and you should all be getting an email pretty soon .
PM: Alright .
PM: Well , thank you for a very productive meeting .
UI: Fun .
ID: Wonderful
ID: Ooh ."
"After the drawing exercise, the project manager talked about the project finances and production costs.","Um from the finance department I have learned that we are aiming for a selling price of twenty five Euros .
And we're hoping for a aim of fifty million Euros
and uh we are hoping to achieve that uh by aiming for an international market .
And the production cost will be twelve Euro fifty max .","PM: Um back to business , back to the money part .
PM: Um from the finance department I have learned that we are aiming for a selling price of twenty five Euros .
PM: And we're hoping for a aim of fifty million Euros
PM: and uh we are hoping to achieve that uh by aiming for an international market .
PM: And the production cost will be twelve Euro fifty max ."
The Project Manager announced also that the group was not to include a teletext function and that they should integrate the company logo into the external design.,"so we don't have to make a very complex remote controls to access teletext and stuff like that
So anyway we don't have to include this feature because it's it's not used any more by users ,
And then also we have to make very uh uh clear that this uh this remote control is is part of of our products and show our corporate uh logo and and colours on the on the design as well so that uh they identify it as one of our product .","PM: So but le let us see first the new requirement .
PM: So we don't have to
PM: so this this uh is uh is um in the
PM: this is in the same direction as we were speaking
PM: so we don't have to make a very complex remote controls to access teletext and stuff like that
UI: But teletext is just one button .
PM: Yeah but then you have to you have to define the buttons to surf amongst pages and stuff .
UI: You you just write the write the numbers .
PM: Yeah .
PM: So well
UI: So will you add with the channel keys , right ?
PM: Yeah .
PM: So anyway we don't have to include this feature because it's it's not used any more by users ,
PM: they prefer to s
UI: So .
UI: 
UI: I am .
UI: I'm sure that uh it don't like but uh I don't see
UI: just one button .
PM: Yeah .
PM: I dunno .
PM: If i one button is still one more button .
PM: If if
PM: if we want to make it very simple we have to reduce number of buttons compared to th to our competitors .
UI: So .
UI: Mm-hmm .
PM: Well anyway I have this point .
PM: We can discuss .
PM: Also um so
PM: as as I told before uh it would be better if it's only for the T V um
PM: because we want to be quick on on the market .
PM: And then also we have to make very uh uh clear that this uh this remote control is is part of of our products and show our corporate uh logo and and colours on the on the design as well so that uh they identify it as one of our product .
PM: So this is the the key point .
ME: "
The Project Manager gave the group new requirements on product features.,"so we've got new project requirements .
So basically we've got three things ,
and we've got forty minutes in which to uh for this meeting to uh to discuss the various options .
W I I got um or or three things basically , um relating to the remote being only for T V .
We discussed that last time
Um we've got uh teletext outdated .
Right and the corporate image was the uh final thing .
So I I got that in email form .","PM: Right uh .
PM: So um .
PM: So where's the PowerPoint presentation ?
PM: Sorry ?
PM: Microsoft PowerPoint , right .
PM: Right , okay . So .
PM: Right .
PM: Okay , so we've got uh
PM: so we've got new project requirements .
PM: Um .
PM: So basically we've got three things ,
PM: and we've got forty minutes in which to uh for this meeting to uh to discuss the various options .
PM: Um .
PM: Three presentations .
ID: We have a
ID: I guess we have a presentation each ,
ID: 'cause I've got one . Um .
UI: Yeah .
ME: Yeah ,
ME: I've got one too .
PM: I see , right .
PM: That's nice to know ,
PM: one from each of you .
PM: Um new project requirements .
PM: Um so do we want to do the presentation first ,
PM: or do we want to um
ID: Mm-hmm .
ME: Mm-hmm .
ME: Mm-hmm .
UI: 
ID: 
ID: Uh we didn't , no .
UI: No .
ID: I d I didn't personally .
ME: Hmm .
UI: 
PM: W I I got um or or three things basically , um relating to the remote being only for T V .
PM: We discussed that last time
PM: and in actual fact that was pr pretty well what we came up with anyway .
PM: So in fact it actually f we won't be forestalled in a sense .
PM: Um we've got uh teletext outdated .
PM: Um did you get any information on that ?
PM: Right and the corporate image was the uh final thing .
PM: So I I got that in email form .
PM: Um . Right okay . So"
The project manager opened the meeting.,"Welcome at the functional design meeting , again presented by Maarten .
Uh , we've got three presentations .
And I'm gonna show you some of the new projects requirements that were sent to me .","UI: Here we go again .
ID: 
ID: My mouse is not working anymore .
ID: He's uh
ID: when I put it in , is is going to beep beep beep .
UI: Oh .
ME: Oh .
UI: Okay .
ME: Oh , I got a nice little screen here over here .
UI: 
ME: I got like this big black border uh on every side .
ID: 
PM: Okay .
UI: Mm , okay .
ME: I'll I'll fix it .
ME: Yeah , whatever .
PM: Everybody ready ?
UI: Yeah , it's okay .
PM: Welcome at the functional design meeting , again presented by Maarten .
ME: 
UI: 
PM: Uh this is the agenda , the opening .
PM: Uh , we've got three presentations .
PM: And I'm gonna show you some of the new projects requirements that were sent to me .
PM: And we're gonna make a decision on the remote control functions .
PM: We have uh forty minutes .
ME: Yes .
PM: Oh , well this is the the closing already .
PM: So uh well we start off with the th the first presentation then .
UI: 
PM: Uh , I think um in uh we have to do it in uh in right order .
PM: Maybe the
UI: Okay .
ME: I don't know what the right order is . So
PM: Well , it
UI: No .
ID: Huh .
PM: Oh that . It won't doesn't
PM: Maybe we should start with the the technical functions ."
Then they close the meeting with the project manager going over the tasks they are to complete and telling them they will meet again in about thirty minutes.,"The industrial designer That's you .
Uh working design , yeah , it's it's uh mainly technical-functional design .
so so you are the working design .
So you have a working design and then a functional design .
And the marketing manager is coming up with some user requirement specification ,
like friendliness , and what we just discussed in general .
I think basically basically you will get instructions to work with
Then uh we see you in about thirty minutes .","PM: Okay , the next meeting will be in thirty minutes .
PM: I think you all
PM: did you get uh notices on your computer for this ?
PM: Okay so well , you got the notice um
PM: uh . The working design , I guess that's the function
PM: I D uh who is this ?
PM: The industrial designer That's you .
ID: Me yeah .
UI: Yes .
ID: Yeah .
ID: Yeah , it's functional de yeah , exactly , technical .
PM: Okay .
PM: So , we looking for a working design when we come back .
ID: Yeah .
PM: 
ID: Uh working design , yeah , it's it's uh mainly technical-functional design .
PM: Then
PM: And then the technical funct you are the technical function ,
PM: so so you are the working design .
PM: So you have a working design and then a functional design .
PM: And the marketing manager is coming up with some user requirement specification ,
PM: like friendliness , and what we just discussed in general .
PM: That would be your idea .
PM: And , of course , price .
PM: That it , that it , that the price is a good price .
PM: I mean , the price is given , but , that was
ID: Yeah , functional design ,
ID: and you
UI: Okay .
ME: Mm-hmm .
ME: We have to justify that price by having sufficient features to make it sell at that price .
PM: That's right .
PM: That's right .
UI: 
PM: And , you know , specifi you you will get specific um instructions for that .
PM: I think that's the end of the show .
PM: Yeah .
PM: So um we have
PM: well , we have a twen two two two three minutes .
PM: Um any questions at this point ?
PM: Or uh suggestions ?
ME: Mm .
PM: I think basically basically you will get instructions to work with
PM: and if you have any questions uh , uh I guess , you can uh
UI: Okay .
ID: Yeah .
ME: Okay , I think I have enough to think about 'til our next meeting .
ME: How about you people ?
ME: Really ?
ME: Okay .
PM: Mm-hmm .
ID: Yeah , even I have .
ID: Yeah , even I have , I think , yeah .
UI: Yes .
PM: Mm-hmm .
ME: 'Kay .
PM: Okay .
ME: Alright , well uh
ID: Yeah , so let's see .
PM: Then uh we see you in about thirty minutes .
PM: And see what we can come up with .
UI: Yes .
ID: Hmm .
ME: Okay , very good .
UI: Okay .
UI: Yes .
PM: Okay ?
ID: Yeah ."
The Industrial Designer gave her presentation on components and discussed which would have to be custom-made and which were standard.,"So I've been looking at the components design .
Um , so we need some custom design parts , and other parts we'll just use standard .
Um , I assume we'll be custom designing our case ,
And we'll need to custom desi design a circuit board ,
Um , standard parts include the buttons and the wheels , um the iPod-style wheel .
And al we also need a beeper or buzzer or other sort of noise thing for locating the remote .
Um , I'd recommend against titanium
Um , and the rubber case requires rubber buttons , so if we definitely want plastic buttons , we shouldn't have a rubber case .
Uh , well we can use wood .
I don't know why we'd want to .","ID: So I've been looking at the components design .
ID: Um . Mostly by consulting remote control diagrams from the internet
ID: and also by incorporating design ideas from the last project meeting .
ID: Um , so we need some custom design parts , and other parts we'll just use standard .
ID: Um , I assume we'll be custom designing our case ,
ID: probably a hard plastic or some other material case , to protect the remote and the locator .
ID: And we'll need to custom desi design a circuit board ,
ID: because the circuit board has to take the button input and send it to the output so you have to design that each time .
ID: But once we come up with a design we'll send it to the circuit people and they'll just print it out .
ID: Um , standard parts include the buttons and the wheels , um the iPod-style wheel .
ID: The infrared L E D is actually gonna be included in the circuit board that comes with it .
ID: Um , we need a radio sender and receiver , those are standard .
ID: And al we also need a beeper or buzzer or other sort of noise thing for locating the remote .
ID: So we have some material options .
ID: Um , we can use rubber , plastic , wood or titanium .
ID: Um , I'd recommend against titanium
ID: because it can only be used in the flat cases and it's really heavy .
ID: Um , and the rubber case requires rubber buttons , so if we definitely want plastic buttons , we shouldn't have a rubber case .
PM: And why not wood ?
PM: And why not wood ?
ID: And ,
ID: hmm ?
ID: Uh , well we can use wood .
ID: I don't know why we'd want to .
ID: Um and also we should note that if we want an iPod-style wheel button , it's gonna require a m qu slightly more expensive chip .
ID: We can't use the minimal chip , we need the next higher grade , which is called regular .
ID: I don't think it's much more expensive , but it is more expensive ."
The project manager closed the meeting and gave the team members their assignments and then one of the team members briefly went over his role on the team.,"Um we're going to meet again in thirty minutes
and uh I want you to mm work on these ideas
and try to make a uh the ones , make um to decide what what are the ones important and what are the one that we don't want .
And um m maybe more in the technical parts what uh do we want to do .
So um your personal coach will send you some instruction for for this thirty minutes .
So what does M E means ?
Market Expert .
Uh that's me .
the user requirement specifications ,","PM: Okay .
PM: So I think we have full of idea .
ME: Okay .
PM: Um we're going to meet again in thirty minutes
PM: and uh I want you to mm work on these ideas
PM: and try to make a uh the ones , make um to decide what what are the ones important and what are the one that we don't want .
PM: And um m maybe more in the technical parts what uh do we want to do .
PM: Um .
PM: So um your personal coach will send you some instruction for for this thirty minutes .
ME: So what does M E means ?
ME: M E the user requirements ?
ME: Or that's uh that's for us ?
UI: Market Expert .
ID: Marketing yeah .
PM: Mm .
ME: Uh that's me .
ME: Oh , of course yeah ,
ME: the user requirement specifications ,
ME: uh-huh , yeah .
UI: 
PM: Mm-hmm .
ME: Okay . I'll think of that .
PM: Mm okay .
PM: So .
ME: So ?
PM: I think that's all .
ME: Meeting's over ?
ME: Great .
PM: Yeah .
UI: Okay .
ID: Thank you .
ME: Thank you .
UI: Thank you everybody .
PM: See you in thirty minutes ."
"The basic functions should include an on/off switch, buttons for channels one to nine, volume, mute and buttons for next and previous channel.",three out of four people claim m uh to find remote controls ugly .,"ME: Alright , I've done some research for functional requirements .
ME: Um yes .
ME: The working method um
ME: there were hundred uh uh w h one hundred people , uh how do you say uh , f watched using remote controls in the usability lab
ME: and they also uh filled out a questionnaire uh with a few questions .
ME: Uh , I've lined them up here .
ME: Uh , ask whether um common remote control looks good or not ,
ME: about willingness to spend money on remote control ,
ME: about zapping behaviour , and uh and stuff like that .
ME: I uh have found some interesting things .
ME: We do we do got a market .
ME: Um ,
ME: three out of four people claim m uh to find remote controls ugly .
ME: So if we make a trendy design , we sure have seventy fi seventy five percent of the market , which you can reach .
ME: Um , three out of four users uh zaps a lot , as I uh quoted here from the uh results .
ME: Zap buttons are used one hundred and sixty eight times per hour .
ME: That's quite a lot .
ME: Um ,
ME: relevant options are , of course , power buttons . Although , only used once per hour .
ME: Uh , channel selection , volume and buttons for text ,
ME: and the more um , yeah ,
ME: other functions , like audio settings , video settings , sound settings are not said to be very important and uh very much used .
ME: Furthermore , fifty percent says uh they only use ten percent of the buttons on a remote control .
ME: That doesn't say we got we can leave ninety percent off . But it sure um says we shouldn't make it too uh complicated .
ME: Fifty percent also claims uh to have lost a remote control very often in the room .
ME: And um an important thing here ,
ME: the most important customers uh , which is over seventy percent of our market , is in the age range of thirty six to sixty five years old .
ME: And uh elderly people , our market , are less interested in uh nice features , but more willingly to spend more money on remote controls ."
